ID,Demand,ServiceTime,Distance
0,0,30,0.00,98.45,36.92,21.97,80.18,22.24,99.45,65.50,50.97,40.00,41.00,31.22,28.44,128.33,142.66,98.45,49.23,101.31,77.10
1,7182,30,98.45,0.00,128.82,86.06,177.07,93.83,197.41,162.62,141.58,138.02,124.61,84.06,106.46,226.02,240.30,196.91,49.23,198.35,174.11
2,7762,30,36.92,128.82,0.00,42.77,66.69,35.27,79.92,53.85,14.06,20.28,13.26,67.65,57.27,98.50,112.52,74.28,80.97,70.32,63.68
3,7222,30,21.97,86.06,42.77,0.00,98.99,8.20,116.69,84.40,55.64,54.35,39.63,42.41,48.58,140.70,154.87,113.77,39.00,112.74,95.85
4,8996,30,80.18,177.07,66.69,98.99,0.00,94.35,22.24,14.68,65.57,47.26,79.56,95.74,73.47,64.84,77.67,29.83,128.33,49.70,3.15
5,6464,30,22.24,93.83,35.27,8.20,94.35,0.00,111.20,79.92,47.76,48.50,31.45,47.76,50.49,133.61,147.71,107.58,47.17,105.53,91.21
6,7636,30,99.45,197.41,79.92,116.69,22.24,111.20,0.00,35.27,75.12,62.73,91.69,117.27,95.27,45.04,56.77,14.06,148.35,37.97,24.56
7,7902,30,65.50,162.62,53.85,84.40,14.68,79.92,35.27,0.00,54.73,33.81,66.99,82.01,60.14,73.81,87.45,39.00,113.77,53.85,11.60
8,6359,30,50.97,141.58,14.06,55.64,65.57,47.76,75.12,54.73,0.00,25.32,18.50,81.55,69.96,87.92,101.62,67.36,94.33,59.68,62.80
9,5530,30,40.00,138.02,20.28,54.35,47.26,48.50,62.73,33.81,25.32,0.00,33.54,66.12,49.73,88.33,102.66,59.49,88.89,61.43,44.16
10,7774,30,41.00,124.61,13.26,39.63,79.56,31.45,91.69,66.99,18.50,33.54,0.00,72.17,65.50,106.41,120.08,84.98,78.62,78.17,76.58
11,4560,30,31.22,84.06,67.65,42.41,95.74,47.76,117.27,82.01,81.55,66.12,72.17,0.00,22.67,152.12,166.39,119.45,39.99,126.69,93.00
12,5317,30,28.44,106.46,57.27,48.58,73.47,50.49,95.27,60.14,69.96,49.73,65.50,22.67,0.00,131.90,146.02,98.34,60.39,107.65,70.83
13,5053,30,128.33,226.02,98.50,140.70,64.84,133.61,45.04,73.81,87.92,88.33,106.41,152.12,131.90,0.00,14.35,35.16,177.07,28.27,66.12
14,7474,30,142.66,240.30,112.52,154.87,77.67,147.71,56.77,87.45,101.62,102.66,120.08,166.39,146.02,14.35,0.00,48.50,191.38,42.19,79.18
15,5668,30,98.45,196.91,74.28,113.77,29.83,107.58,14.06,39.00,67.36,59.49,84.98,119.45,98.34,35.16,48.50,0.00,147.68,23.91,30.97
16,4322,30,49.23,49.23,80.97,39.00,128.33,47.17,148.35,113.77,94.33,88.89,78.62,39.99,60.39,177.07,191.38,147.68,0.00,149.61,125.33
17,6312,30,101.31,198.35,70.32,112.74,49.70,105.53,37.97,53.85,59.68,61.43,78.17,126.69,107.65,28.27,42.19,23.91,149.61,0.00,49.73
18,8606,30,77.10,174.11,63.68,95.85,3.15,91.21,24.56,11.60,62.80,44.16,76.58,93.00,70.83,66.12,79.18,30.97,125.33,49.73,0.00

